Force,Depth,Pot,Pixel
1,2.33,35,213260
2,2.33,35,222507
3,2.33,35,231279
4,2.33,35,235623
5,2.33,35,241504
6,2.33,35,249615
7,2.33,35,255041
8,2.33,35,262613
9,2.33,35,266397
10,2.33,35,272416
1,2.33,25,205615
2,2.33,25,217965
3,2.33,25,220488
4,2.33,25,203001
5,2.33,25,230865
6,2.33,25,214568
7,2.33,25,236821
8,2.33,25,246326
9,2.33,25,253585
10,2.33,25,254040
1,5.04,35,306139
2,5.04,35,312969
3,5.04,35,316141
4,5.04,35,313699
5,5.04,35,314301
6,5.04,35,328158
7,5.04,35,331014
8,5.04,35,333491
9,5.04,35,337842
10,5.04,35,342122
1,5.04,25,271371
2,5.04,25,279558
3,5.04,25,285061
4,5.04,25,287166
5,5.04,25,283462
6,5.04,25,302775
7,5.04,25,304986
8,5.04,25,306515
9,5.04,25,288021
10,5.04,25,322867
